,label,location,gambar
88,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
89,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
90,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
91,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
92,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
93,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
94,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
95,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
96,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
97,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
98,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
99,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
100,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
101,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
102,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
103,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
104,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
105,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
106,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
107,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
108,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
109,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
110,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
111,KAClipLengkap,"['-', '-']",2023-06-09--22-51-15.jpg
112,KAClipLengkap,"['-', '-']",2023-06-09--22-51-20.jpg
113,KAClipLengkap,"['-', '-']",2023-06-09--22-51-20.jpg
114,KAClipLengkap,"['-', '-']",2023-06-09--22-51-20.jpg
115,KAClipLengkap,"['-', '-']",2023-06-09--22-51-20.jpg
